"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"146",6,7,"honwo'nohino","HO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"147",6,8,"sontijo","SN","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"148",6,9,"hwatnjo","HT","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"149",6,10,"hwajingo","HJ","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"150",6,11,"hwosimijo","HS","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"151",6,12,"hwofeejo","HF","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"152",6,13,"mi'miyo","MM","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"153",6,14,"hafihwaho","HH","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"154",6,15,"sokojae","SK","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"155",6,16,"iyoswopaho'nji","IY","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"156",6,17,"wonipa'nyo","WO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"157",6,18,"hwomango'nohino","HM","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"158",6,19,"humamopa'nyo","HU","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"159",6,20,"ijimtofaho","IJ","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"160",6,21,"jikufopa'nyo","JI","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"161",6,22,"itimtofaho","IT","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"162",6,23,"kwotehweho","KW","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"163",6,24,"pountalo","PO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"164",6,25,"ahwompaho","AH","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"165",6,26,"sihwamijo-muhwahopa'njo","SM","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"166",6,27,"halokwaho pa'nyo","HP","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"167",6,28,"iyo hwaho pa'nyo","IH","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"168",6,29,"ijimo'nohino","IN","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"169",6,30,"hwaho usi fopan'yo","UF","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"170",6,31,"kwofolo-kwahopa'nyo","KH","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"171",6,32,"hajuyo/hajuyo pa'nyo","JY","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"172",6,33,"hwaho","WA","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"173",6,34,"silifijo","SL","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"174",6,35,"ahojo","AO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"175",6,36,"hesiyamo","HE","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"176",6,37,"itimomo'nohino","IO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"177",6,38,"honwo","HW","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"178",6,39,"miyo","MI","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"179",6,40,"hwajingo'nohino","WJ","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"180",6,41,"itimno hwospopa'nyo","II","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"181",6,42,"hwaho'nohino","ON","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
